game_id,minute,side,type
1,69,home,red_card
4,90,home,red_card
14,85,away,red_card
26,90,away,red_card
29,71,away,red_card
46,90,home,red_card
66,83,away,red_card
70,79,away,red_card
71,40,away,red_card
82,67,away,red_card
84,87,home,red_card
90,13,home,red_card
92,47,home,red_card
97,85,away,red_card
99,63,home,red_card
108,4,away,red_card
114,66,away,red_card
117,66,home,red_card
121,39,home,red_card
132,78,away,red_card
141,90,home,red_card
153,18,away,red_card
161,75,home,red_card
175,78,home,red_card
181,90,home,red_card
181,90,away,red_card
186,69,home,red_card
192,68,away,red_card
196,65,away,red_card
198,57,away,red_card
206,61,home,red_card
206,41,away,red_card
207,63,home,red_card
209,77,home,red_card
217,53,home,red_card
217,53,away,red_card
225,75,away,red_card
226,60,away,red_card
229,45,away,red_card
230,36,away,red_card
232,79,away,red_card
238,54,home,red_card
241,54,home,red_card
242,90,away,red_card
255,83,away,red_card
264,81,away,red_card
268,30,home,red_card
268,90,home,red_card
268,90,away,red_card
280,90,away,red_card
284,70,home,red_card
297,32,home,red_card
299,37,away,red_card
315,70,away,red_card
322,5,away,red_card
323,90,home,red_card
330,90,home,red_card
330,90,away,red_card
333,64,home,red_card
335,26,away,red_card
339,90,home,red_card
343,62,away,red_card
346,73,home,red_card
353,71,away,red_card
357,76,home,red_card
358,66,away,red_card
363,66,home,red_card
374,29,away,red_card
378,75,away,red_card
388,77,away,red_card
389,66,away,red_card
391,47,home,red_card
393,45,away,red_card
401,55,home,red_card
401,90,home,red_card
405,80,away,red_card
417,90,away,red_card
419,69,away,red_card
426,90,away,red_card
436,58,away,red_card
443,58,away,red_card
452,83,home,red_card
455,90,away,red_card
458,90,away,red_card
459,63,away,red_card
460,80,away,red_card
461,90,home,red_card
472,87,home,red_card
474,57,away,red_card
481,90,away,red_card
498,77,home,red_card
500,71,away,red_card
500,82,away,red_card
510,71,away,red_card
511,80,away,red_card
515,39,away,red_card
519,34,away,red_card
527,83,home,red_card
535,75,away,red_card
536,36,home,red_card
537,58,home,red_card
541,29,away,red_card
542,61,away,red_card
557,67,home,red_card
558,35,home,red_card
571,83,away,red_card
579,48,home,red_card
590,35,home,red_card
591,45,away,red_card
593,58,away,red_card
623,85,away,red_card
625,61,away,red_card
626,89,away,red_card
627,83,away,red_card
628,90,home,red_card
628,67,away,red_card
629,52,home,red_card
653,54,away,red_card
656,51,home,red_card
658,9,home,red_card
659,76,away,red_card
663,49,away,red_card
663,84,away,red_card
664,90,away,red_card
677,34,away,red_card
683,88,away,red_card
686,86,home,red_card
693,69,away,red_card
696,59,home,red_card
703,36,away,red_card
713,58,away,red_card
730,43,away,red_card
733,33,away,red_card
738,79,home,red_card
756,54,home,red_card
757,66,away,red_card
783,56,away,red_card
784,58,away,red_card
785,32,home,red_card
788,82,away,red_card
789,90,home,red_card
791,90,away,red_card
795,84,away,red_card
797,80,away,red_card
802,7,home,red_card
802,39,away,red_card
806,90,home,red_card
807,80,away,red_card
810,56,away,red_card
821,90,home,red_card
821,90,away,red_card
828,63,home,red_card
831,58,away,red_card
839,90,home,red_card
843,45,home,red_card
845,35,home,red_card
845,45,away,red_card
846,64,away,red_card
847,62,away,red_card
854,77,home,red_card
860,87,away,red_card
866,80,home,red_card
878,86,home,red_card
879,40,home,red_card
884,53,away,red_card
895,73,away,red_card
897,79,away,red_card
897,83,away,red_card
901,50,away,red_card
902,75,away,red_card
915,90,away,red_card
919,78,away,red_card
926,66,away,red_card
929,58,home,red_card
934,57,away,red_card
941,84,away,red_card
942,57,away,red_card
944,82,away,red_card
945,40,home,red_card
954,90,home,red_card
962,81,away,red_card
970,9,home,red_card
972,90,home,red_card
972,70,away,red_card
996,53,away,red_card
1000,63,home,red_card
1003,88,home,red_card
1004,33,away,red_card
1005,19,home,red_card
1021,73,home,red_card
1022,38,away,red_card
1027,88,home,red_card
1042,54,home,red_card
1044,34,home,red_card
1049,8,away,red_card
1061,74,home,red_card
1069,81,away,red_card
1075,34,away,red_card
1093,45,home,red_card
1093,66,away,red_card
1094,88,home,red_card
1104,90,away,red_card
1122,75,away,red_card
1129,80,home,red_card
1129,75,away,red_card
1129,80,away,red_card
1138,39,home,red_card
1138,71,away,red_card
1144,69,home,red_card
1144,63,away,red_card
1149,61,home,red_card
1152,90,away,red_card
